Manufacturer,Size (mL),Inside Diameter (mm),Maxmium Rate (mL/hr),Minimum Rate (Î¼L/hr),Maximum Rate (mL/min)
B-D,1,4.699,53.07,0.73,0.884
B-D,3,8.585,177.1,2.434,2.952
B-D,5,11.99,345.5,4.748,5.758
B-D,10,14.43,500.4,6.876,8.341
B-D,20,19.05,872.2,11.99,14.53
B-D,30,21.59,1120,15.4,18.67
B-D,60,26.59,1699,23.35,28.32
HSW Norm-Ject,1,4.69,52.86,0.727,0.881
HSW Norm-Ject,3,9.65,223.8,3.076,3.73
HSW Norm-Ject,5,12.45,372.5,5.119,6.209
HSW Norm-Ject,10,15.9,607.6,8.349,10.12
HSW Norm-Ject,20,20.05,966.2,13.28,16.1
HSW Norm-Ject,30,22.9,1260,17.32,21
HSW Norm-Ject,50,29.2,2049,28.16,34.15
Monoject,1,5.74,79.18,1.088,1.319
Monoject,3,8.941,192.1,2.64,3.202
Monoject,6,12.7,387.6,5.326,6.46
Monoject,12,15.72,593.9,8.161,9.899
Monoject,20,20.12,972.9,13.37,16.21
Monoject,35,23.52,1329,18.27,22.15
Monoject,60,26.64,1705,23.44,28.42
Monoject,140,38,3470,47.69,57.84
Terumo,1,4.7,53.09,0.73,0.884
Terumo,3,8.95,192.5,2.646,3.208
Terumo,5,13,406.1,5.581,6.769
Terumo,10,15.8,600,8.244,10
Terumo,20,20.15,975.8,13.41,16.26
Terumo,30,23.1,1282,17.63,21.37
Terumo,60,29.7,2120,29.13,35.33
Poulten & Graf (Glass),1,6.7,107.8,1.483,1.798
Poulten & Graf (Glass),2,8.91,190.8,2.622,3.18
Poulten & Graf (Glass),3,9.06,197.2,2.711,3.288
Poulten & Graf (Glass),5,11.75,331.8,4.559,5.53
Poulten & Graf (Glass),10,14.67,517.2,7.107,8.62
Poulten & Graf (Glass),20,19.62,925.2,12.72,15.42
Poulten & Graf (Glass),30,22.69,1237,17.01,20.62
Poulten & Graf (Glass),50,26.96,1746,24.01,29.11
Steel Syringes,1,9.538,218.6,3.005,3.644
Steel Syringes,3,9.538,218.6,3.005,3.644
Steel Syringes,5,12.7,387.6,5.326,6.46
Steel Syringes,8,9.538,218.6,3.005,3.644
Steel Syringes,20,19.13,879.5,12.09,14.65
Steel Syringes,50,28.6,1965,27.01,32.76
